id,created,product,responded_in_24h,responded_in_72h,solved
1288933,2020-05-30 06:26:45 -0800,thunderbird,true,true,false
1288932,2020-05-30 06:25:39 -0800,firefox,true,true,false
1288931,2020-05-30 06:23:58 -0800,ios,true,true,false
1288930,2020-05-30 06:07:21 -0800,firefox,true,true,false
1288929,2020-05-30 06:00:13 -0800,firefox,true,true,true
1288928,2020-05-30 05:54:05 -0800,firefox,false,false,false
1288927,2020-05-30 05:51:01 -0800,mobile,false,false,false
1288926,2020-05-30 05:42:09 -0800,firefox,true,true,false
1288925,2020-05-30 05:33:42 -0800,firefox,true,true,false
1288924,2020-05-30 05:22:03 -0800,firefox,true,true,false
1288923,2020-05-30 04:57:24 -0800,firefox,false,false,false
1288922,2020-05-30 04:56:03 -0800,ios,true,true,false
1288921,2020-05-30 04:37:31 -0800,firefox,false,true,false
1288920,2020-05-30 04:33:46 -0800,firefox,true,true,false
1288919,2020-05-30 04:30:40 -0800,firefox,true,true,false
1288918,2020-05-30 04:22:38 -0800,mobile,true,true,false
1288917,2020-05-30 04:12:38 -0800,firefox-preview,true,true,false
1288916,2020-05-30 04:04:42 -0800,firefox,true,true,false
1288915,2020-05-30 03:54:35 -0800,thunderbird,false,true,true
1288914,2020-05-30 03:50:51 -0800,mobile,false,false,false
1288913,2020-05-30 03:49:55 -0800,firefox,false,false,false
1288912,2020-05-30 03:44:37 -0800,firefox,false,true,true
1288911,2020-05-30 03:00:31 -0800,thunderbird,true,true,false
1288910,2020-05-30 02:59:53 -0800,thunderbird,true,true,false
1288909,2020-05-30 02:52:58 -0800,mobile,false,false,false
1288908,2020-05-30 02:45:55 -0800,mobile,false,false,false
1288907,2020-05-30 02:44:37 -0800,mobile,false,false,false
1288906,2020-05-30 02:32:19 -0800,firefox,true,true,false
1288905,2020-05-30 02:32:16 -0800,firefox,true,true,false
1288904,2020-05-30 02:31:30 -0800,thunderbird,true,true,false
1288903,2020-05-30 02:09:01 -0800,thunderbird,false,true,false
1288902,2020-05-30 01:12:18 -0800,firefox,true,true,false
1288901,2020-05-30 00:52:44 -0800,firefox,true,true,true
1288900,2020-05-30 00:28:32 -0800,firefox,true,true,false
1288899,2020-05-30 00:27:18 -0800,thunderbird,true,true,false
1288898,2020-05-30 00:12:45 -0800,firefox,true,true,false
1288897,2020-05-30 00:02:07 -0800,mobile,false,false,false
1288896,2020-05-29 23:57:48 -0800,firefox,true,true,false
1288895,2020-05-29 23:41:13 -0800,thunderbird,false,true,false
1288894,2020-05-29 23:38:01 -0800,firefox,true,true,false
1288893,2020-05-29 22:31:16 -0800,thunderbird,true,true,false
1288892,2020-05-29 22:30:30 -0800,mobile,false,false,false
1288891,2020-05-29 22:25:12 -0800,mobile,false,false,false
1288890,2020-05-29 22:18:23 -0800,mobile,false,false,false
1288889,2020-05-29 22:14:33 -0800,mobile,false,false,false
1288888,2020-05-29 22:13:21 -0800,firefox,false,false,false
1288887,2020-05-29 22:06:47 -0800,firefox,true,true,true
1288886,2020-05-29 21:59:31 -0800,thunderbird,false,false,false
1288885,2020-05-29 21:47:35 -0800,firefox,true,true,true
1288884,2020-05-29 21:39:33 -0800,ios,true,true,false
1288883,2020-05-29 21:06:25 -0800,firefox-private-network-vpn,false,true,false
1288882,2020-05-29 20:05:31 -0800,firefox,true,true,false
1288881,2020-05-29 19:43:44 -0800,firefox,true,true,false
1288880,2020-05-29 19:06:37 -0800,firefox,true,true,true
1288879,2020-05-29 18:44:41 -0800,thunderbird,true,true,false
1288878,2020-05-29 18:24:38 -0800,firefox,true,true,false
1288877,2020-05-29 18:17:10 -0800,thunderbird,false,true,false
1288876,2020-05-29 18:05:24 -0800,ios,false,true,true
