id,created,product
1280702,2020-02-25 11:37:10 -0800,firefox
1280701,2020-02-25 11:29:02 -0800,firefox
1280700,2020-02-25 11:24:08 -0800,firefox
1280699,2020-02-25 11:09:21 -0800,thunderbird
1280698,2020-02-25 11:05:57 -0800,thunderbird
1280697,2020-02-25 10:39:10 -0800,firefox
1280696,2020-02-25 10:37:06 -0800,firefox
1280695,2020-02-25 10:23:34 -0800,firefox
1280694,2020-02-25 10:22:21 -0800,thunderbird
1280693,2020-02-25 10:06:57 -0800,firefox
1280692,2020-02-25 09:47:05 -0800,thunderbird
1280691,2020-02-25 08:59:45 -0800,firefox
1280690,2020-02-25 08:39:15 -0800,mobile
1280689,2020-02-25 08:35:52 -0800,firefox
1280688,2020-02-25 08:31:41 -0800,firefox
1280687,2020-02-25 07:49:58 -0800,thunderbird
1280686,2020-02-25 07:49:32 -0800,firefox
1280685,2020-02-25 07:49:28 -0800,thunderbird
1280684,2020-02-25 07:27:12 -0800,firefox
1280683,2020-02-25 07:26:49 -0800,firefox
1280682,2020-02-25 07:25:43 -0800,mobile
1280681,2020-02-25 07:25:01 -0800,ios
1280680,2020-02-25 07:25:00 -0800,ios
1280679,2020-02-25 07:23:34 -0800,firefox
1280678,2020-02-25 07:02:59 -0800,firefox
1280677,2020-02-25 07:01:27 -0800,firefox
1280676,2020-02-25 06:59:43 -0800,thunderbird
1280675,2020-02-25 06:45:24 -0800,thunderbird
1280674,2020-02-25 06:44:53 -0800,firefox-private-network
1280673,2020-02-25 06:41:40 -0800,firefox
1280672,2020-02-25 06:22:01 -0800,firefox
1280671,2020-02-25 06:07:55 -0800,firefox-lockwise
1280670,2020-02-25 06:07:16 -0800,firefox
1280669,2020-02-25 06:03:53 -0800,firefox
1280668,2020-02-25 05:56:30 -0800,thunderbird
1280667,2020-02-25 05:48:34 -0800,firefox
1280666,2020-02-25 05:39:56 -0800,firefox
1280665,2020-02-25 05:34:08 -0800,firefox
1280664,2020-02-25 05:19:26 -0800,firefox
1280663,2020-02-25 05:17:55 -0800,firefox
1280662,2020-02-25 05:06:31 -0800,mobile
1280661,2020-02-25 04:56:34 -0800,firefox
1280660,2020-02-25 04:04:28 -0800,firefox
1280659,2020-02-25 03:36:01 -0800,mobile
1280658,2020-02-25 03:24:36 -0800,firefox
1280657,2020-02-25 03:06:14 -0800,firefox
1280656,2020-02-25 02:54:16 -0800,thunderbird
1280655,2020-02-25 02:53:48 -0800,firefox
1280654,2020-02-25 02:20:21 -0800,firefox
1280653,2020-02-25 02:07:31 -0800,thunderbird
1280652,2020-02-25 01:59:26 -0800,mobile
1280651,2020-02-25 01:48:12 -0800,firefox
1280650,2020-02-25 00:46:02 -0800,firefox
1280649,2020-02-25 00:45:04 -0800,mobile
1280648,2020-02-25 00:28:48 -0800,firefox
1280647,2020-02-25 00:23:17 -0800,firefox
1280646,2020-02-25 00:18:28 -0800,firefox
1280645,2020-02-24 23:04:11 -0800,firefox
1280644,2020-02-24 22:59:12 -0800,mobile
1280643,2020-02-24 22:53:13 -0800,firefox
1280642,2020-02-24 22:27:16 -0800,firefox
1280641,2020-02-24 21:53:52 -0800,thunderbird
1280640,2020-02-24 21:36:36 -0800,firefox
1280639,2020-02-24 21:17:23 -0800,firefox
1280638,2020-02-24 20:37:44 -0800,thunderbird
1280637,2020-02-24 19:29:28 -0800,firefox-lockwise
1280636,2020-02-24 19:13:09 -0800,firefox
1280635,2020-02-24 18:37:55 -0800,thunderbird
1280634,2020-02-24 18:16:32 -0800,firefox
1280633,2020-02-24 17:44:31 -0800,firefox
1280632,2020-02-24 17:10:38 -0800,ios
1280631,2020-02-24 17:09:17 -0800,ios
1280630,2020-02-24 16:05:52 -0800,firefox
1280629,2020-02-24 15:41:21 -0800,mobile
1280628,2020-02-24 15:29:44 -0800,firefox
1280627,2020-02-24 15:19:11 -0800,firefox-private-network-vpn
1280626,2020-02-24 14:31:25 -0800,firefox
1280625,2020-02-24 14:31:01 -0800,firefox
1280624,2020-02-24 14:23:05 -0800,firefox
1280623,2020-02-24 14:12:07 -0800,firefox
1280622,2020-02-24 13:42:06 -0800,ios
1280621,2020-02-24 13:20:48 -0800,thunderbird
1280620,2020-02-24 12:55:58 -0800,firefox
1280619,2020-02-24 12:54:05 -0800,firefox
1280618,2020-02-24 12:34:43 -0800,firefox
1280617,2020-02-24 12:16:39 -0800,thunderbird
1280616,2020-02-24 12:07:16 -0800,mobile
1280615,2020-02-24 12:02:01 -0800,focus-firefox
1280614,2020-02-24 11:51:14 -0800,firefox
1280613,2020-02-24 11:44:51 -0800,thunderbird
1280612,2020-02-24 11:32:35 -0800,firefox
1280611,2020-02-24 11:31:21 -0800,firefox
1280610,2020-02-24 11:24:38 -0800,firefox
1280609,2020-02-24 11:23:10 -0800,firefox
1280608,2020-02-24 11:13:33 -0800,firefox
1280607,2020-02-24 11:10:56 -0800,firefox
1280606,2020-02-24 11:01:32 -0800,firefox
1280605,2020-02-24 10:35:54 -0800,thunderbird
1280604,2020-02-24 10:22:50 -0800,firefox
1280603,2020-02-24 10:15:40 -0800,mobile
1280602,2020-02-24 10:10:19 -0800,thunderbird
1280601,2020-02-24 10:06:12 -0800,firefox
1280600,2020-02-24 09:55:28 -0800,firefox
1280599,2020-02-24 09:40:15 -0800,firefox
1280598,2020-02-24 09:40:02 -0800,firefox-enterprise
1280597,2020-02-24 09:39:26 -0800,firefox
1280596,2020-02-24 09:34:48 -0800,firefox
1280595,2020-02-24 09:18:09 -0800,firefox
1280594,2020-02-24 09:08:26 -0800,firefox
1280593,2020-02-24 09:03:45 -0800,firefox
1280592,2020-02-24 08:59:53 -0800,firefox
1280591,2020-02-24 08:48:05 -0800,ios
1280590,2020-02-24 08:11:56 -0800,thunderbird
1280589,2020-02-24 08:08:56 -0800,firefox
1280588,2020-02-24 08:02:28 -0800,ios
1280587,2020-02-24 08:00:03 -0800,firefox
1280586,2020-02-24 07:56:35 -0800,thunderbird
1280585,2020-02-24 07:37:34 -0800,firefox
1280584,2020-02-24 07:35:55 -0800,mobile
1280583,2020-02-24 07:29:34 -0800,firefox
1280582,2020-02-24 07:27:53 -0800,firefox
1280581,2020-02-24 07:20:16 -0800,mobile
1280580,2020-02-24 06:57:51 -0800,firefox
1280579,2020-02-24 06:53:35 -0800,mobile
1280578,2020-02-24 06:52:28 -0800,mobile
1280577,2020-02-24 06:44:20 -0800,firefox
1280576,2020-02-24 06:44:16 -0800,thunderbird
1280575,2020-02-24 06:36:06 -0800,thunderbird
1280574,2020-02-24 06:35:41 -0800,firefox
1280573,2020-02-24 06:27:54 -0800,thunderbird
1280572,2020-02-24 06:20:07 -0800,thunderbird
1280571,2020-02-24 06:12:25 -0800,firefox
1280570,2020-02-24 06:09:24 -0800,thunderbird
1280569,2020-02-24 05:49:52 -0800,firefox
1280568,2020-02-24 05:16:36 -0800,thunderbird
1280567,2020-02-24 05:01:55 -0800,firefox-enterprise
1280566,2020-02-24 04:48:36 -0800,firefox
1280565,2020-02-24 03:47:13 -0800,firefox
1280564,2020-02-24 03:21:00 -0800,firefox
1280563,2020-02-24 03:11:25 -0800,firefox
1280562,2020-02-24 03:00:13 -0800,firefox
1280561,2020-02-24 02:42:45 -0800,firefox
1280560,2020-02-24 02:24:53 -0800,firefox
1280559,2020-02-24 02:13:51 -0800,mobile
1280558,2020-02-24 01:47:55 -0800,firefox
1280557,2020-02-24 01:01:45 -0800,mobile
1280556,2020-02-23 23:54:58 -0800,thunderbird
1280555,2020-02-23 23:35:33 -0800,mobile
1280554,2020-02-23 23:13:42 -0800,firefox
1280553,2020-02-23 22:52:14 -0800,mobile
1280552,2020-02-23 22:28:06 -0800,thunderbird
1280551,2020-02-23 21:57:32 -0800,firefox
1280550,2020-02-23 21:40:40 -0800,firefox-reality
1280549,2020-02-23 21:40:08 -0800,firefox
1280548,2020-02-23 21:26:38 -0800,mobile
1280547,2020-02-23 21:14:40 -0800,firefox
1280546,2020-02-23 20:12:00 -0800,firefox-preview
1280545,2020-02-23 20:10:47 -0800,firefox-lockwise
1280544,2020-02-23 19:20:37 -0800,firefox
1280543,2020-02-23 19:19:15 -0800,mobile
1280542,2020-02-23 19:08:28 -0800,firefox
1280541,2020-02-23 18:30:06 -0800,thunderbird
1280540,2020-02-23 18:16:48 -0800,firefox
1280539,2020-02-23 17:49:42 -0800,mobile
1280538,2020-02-23 17:30:27 -0800,firefox
